Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,69
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,55
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,79
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,39
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,69
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,39
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,39
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,59
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,39
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,69
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,36
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,37
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,49
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,37
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,68
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,66
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,79
S;PR;GUARAPUAVA;GASOLINA;01/03/22;6,19
S;PR;GUARAPUAVA;ETANOL;01/03/22;4,79
S;PR;GUARAPUAVA;GASOLINA ADITIVADA;01/03/22;6,19
S;PR;UNIAO DA VITORIA;GASOLINA;01/03/22;6,69
S;PR;UNIAO DA VITORIA;ETANOL;01/03/22;5,25
S;PR;UNIAO DA VITORIA;GASOLINA ADITIVADA;01/03/22;6,669
S;PR;UNIAO DA VITORIA;GASOLINA;01/03/22;6,82
S;PR;UNIAO DA VITORIA;ETANOL;01/03/22;5,68
S;PR;UNIAO DA VITORIA;GASOLINA ADITIVADA;01/03/22;6,92
S;PR;UNIAO DA VITORIA;GASOLINA;01/03/22;6,69
S;PR;UNIAO DA VITORIA;ETANOL;01/03/22;5,25
S;PR;UNIAO DA VITORIA;GASOLINA ADITIVADA;01/03/22;6,79
S;PR;UNIAO DA VITORIA;GASOLINA;01/03/22;6,89
