Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
NE;CE;LIMOEIRO DO NORTE;GASOLINA;01/02/22;7,149
NE;CE;LIMOEIRO DO NORTE;GASOLINA ADITIVADA;01/02/22;7,158
NE;CE;LIMOEIRO DO NORTE;ETANOL;01/02/22;5,689
NE;CE;LIMOEIRO DO NORTE;GASOLINA;01/02/22;7,139
NE;CE;MARACANAU;GASOLINA ADITIVADA;01/02/22;6,579
NE;CE;MARACANAU;ETANOL;01/02/22;5,39
NE;CE;MARACANAU;GASOLINA;01/02/22;6,479
NE;CE;MARACANAU;GASOLINA ADITIVADA;01/02/22;6,47
NE;CE;MARACANAU;ETANOL;01/02/22;5,37
NE;CE;MARACANAU;GASOLINA;01/02/22;6,47
NE;CE;MARACANAU;ETANOL;01/02/22;5,37
NE;CE;MARACANAU;GASOLINA;01/02/22;6,47
NE;CE;MARACANAU;GASOLINA ADITIVADA;01/02/22;6,57
NE;CE;MARACANAU;ETANOL;01/02/22;5,47
NE;CE;MARACANAU;GASOLINA;01/02/22;6,47
CO;DF;BRASILIA;GASOLINA;02/02/22;6,639
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,839
CO;DF;BRASILIA;ETANOL;02/02/22;5,499
CO;DF;BRASILIA;GASOLINA;02/02/22;6,639
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,859
CO;DF;BRASILIA;ETANOL;02/02/22;5,599
CO;DF;BRASILIA;GASOLINA;02/02/22;6,83
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,9
CO;DF;BRASILIA;ETANOL;02/02/22;5,99
CO;DF;BRASILIA;GASOLINA;02/02/22;6,799
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,799
CO;DF;BRASILIA;ETANOL;02/02/22;5,599
CO;DF;BRASILIA;GASOLINA;02/02/22;6,659
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,699
CO;DF;BRASILIA;ETANOL;02/02/22;5,659
CO;DF;BRASILIA;GASOLINA;02/02/22;6,699
CO;DF;BRASILIA;ETANOL;02/02/22;5,999
CO;DF;BRASILIA;GASOLINA;02/02/22;6,75
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,85
CO;DF;BRASILIA;ETANOL;02/02/22;6,09
CO;DF;BRASILIA;GASOLINA;02/02/22;6,695
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,695
CO;DF;BRASILIA;ETANOL;02/02/22;5,695
CO;DF;BRASILIA;GASOLINA;02/02/22;6,649
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,749
CO;DF;BRASILIA;ETANOL;02/02/22;5,659
CO;DF;BRASILIA;GASOLINA;02/02/22;6,649
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,848
CO;DF;BRASILIA;ETANOL;02/02/22;5,999
CO;DF;BRASILIA;GASOLINA;02/02/22;6,799
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,799
CO;DF;BRASILIA;ETANOL;02/02/22;5,699
CO;DF;BRASILIA;GASOLINA;02/02/22;6,637
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,637
CO;DF;BRASILIA;ETANOL;02/02/22;5,497
CO;DF;BRASILIA;GASOLINA;02/02/22;6,639
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,789
CO;DF;BRASILIA;ETANOL;02/02/22;5,399
CO;DF;BRASILIA;GASOLINA;02/02/22;6,698
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,849
CO;DF;BRASILIA;ETANOL;02/02/22;5,799
CO;DF;BRASILIA;GASOLINA;02/02/22;6,849
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,849
CO;DF;BRASILIA;ETANOL;02/02/22;5,999
CO;DF;BRASILIA;GASOLINA;02/02/22;6,657
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,797
CO;DF;BRASILIA;ETANOL;02/02/22;5,995
CO;DF;BRASILIA;GASOLINA;02/02/22;6,649
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,649
CO;DF;BRASILIA;ETANOL;02/02/22;5,799
CO;DF;BRASILIA;GASOLINA;02/02/22;6,789
CO;DF;BRASILIA;ETANOL;02/02/22;5,749
CO;DF;BRASILIA;GASOLINA;02/02/22;6,799
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,799
CO;DF;BRASILIA;ETANOL;02/02/22;5,499
CO;DF;BRASILIA;GASOLINA;02/02/22;6,649
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,649
CO;DF;BRASILIA;ETANOL;02/02/22;5,599
CO;DF;BRASILIA;GASOLINA;02/02/22;6,649
